CA(k),qc,CA(k+1)
0.082345312,101.7772299,0.082657131
0.082657131,101.7772299,0.083411075
0.083411075,101.7772299,0.084360018
0.084360018,101.7772299,0.085332961
0.085332961,101.7772299,0.086220472
0.086220472,101.7772299,0.086960372
0.086960372,101.7772299,0.087525838
0.087525838,101.7772299,0.087915744
0.087915744,101.7772299,0.088146611
0.088146611,101.7772299,0.088245742
0.088245742,101.7772299,0.088245408
0.088245408,101.7772299,0.088178151
0.088178151,101.7772299,0.088073323
0.088073323,101.7772299,0.087954923
0.087954923,101.7772299,0.08784063
0.08784063,101.7772299,0.087741856
0.087741856,101.7772299,0.08766449
0.08766449,101.7772299,0.087610056
0.087610056,101.7772299,0.087576992
0.087576992,101.7772299,0.087561861
0.087561861,101.7772299,0.087560368
0.087560368,101.7772299,0.087568137
0.087568137,101.7772299,0.08758122
0.08758122,101.7772299,0.0875964
0.0875964,96.28430636,0.086598959
0.086598959,96.28430636,0.084159497
0.084159497,96.28430636,0.081116713
0.081116713,96.28430636,0.07815563
0.07815563,96.28430636,0.075702459
0.075702459,96.28430636,0.073914749
0.073914749,96.28430636,0.072757493
0.072757493,96.28430636,0.072102191
0.072102191,96.28430636,0.071800872
0.071800872,96.28430636,0.071724353
0.071724353,96.28430636,0.071774721
0.071774721,96.28430636,0.07188458
0.07188458,96.28430636,0.072011348
0.072011348,96.28430636,0.072130735
0.072130735,96.28430636,0.072230993
0.072230993,96.28430636,0.07230838
0.07230838,96.28430636,0.072363823
0.072363823,96.28430636,0.072400596
0.072400596,96.28430636,0.072422805
0.072422805,96.28430636,0.072434477
0.072434477,96.28430636,0.072439089
0.072439089,96.28430636,0.072439384
0.072439384,96.28430636,0.072437363
0.072437363,96.28430636,0.072434382
0.072434382,100.3601534,0.073150439
0.073150439,100.3601534,0.074743149
0.074743149,100.3601534,0.07663784
0.07663784,100.3601534,0.078508163
0.078508163,100.3601534,0.08017664
0.08017664,100.3601534,0.081556347
0.081556347,100.3601534,0.082618072
0.082618072,100.3601534,0.083370685
0.083370685,100.3601534,0.083847863
0.083847863,100.3601534,0.08409787
0.08409787,100.3601534,0.084175124
0.084175124,100.3601534,0.084133342
0.084133342,100.3601534,0.084020439
0.084020439,100.3601534,0.083875344
0.083875344,100.3601534,0.08372672
0.08372672,100.3601534,0.083593238
0.083593238,98.2179832,0.08309403
0.08309403,98.2179832,0.08208898
0.08208898,98.2179832,0.080895973
0.080895973,98.2179832,0.079744507
0.079744507,98.2179832,0.07877098
0.07877098,98.2179832,0.07803154
0.07803154,98.2179832,0.077525395
0.077525395,98.2179832,0.077219258
0.077219258,98.2179832,0.077066838
0.077066838,98.2179832,0.07702151
0.07702151,98.2179832,0.07704304
0.07704304,98.2179832,0.077100153
0.077100153,98.2179832,0.077170626
0.077170626,98.2179832,0.077240126
0.077240126,98.2179832,0.077300564
0.077300564,97.84154108,0.077280804
0.077280804,97.84154108,0.077161192
0.077161192,97.84154108,0.076999144
0.076999144,97.84154108,0.076833097
0.076833097,97.84154108,0.076685619
0.076685619,97.84154108,0.07656723
0.07656723,97.84154108,0.076480207
0.076480207,97.84154108,0.07642186
0.07642186,97.84154108,0.076387041
0.076387041,97.84154108,0.076369878
0.076369878,97.84154108,0.07636484
0.07636484,97.84154108,0.076367288
0.076367288,97.84154108,0.076373667
0.076373667,97.84154108,0.076381479
0.076381479,103.8966409,0.077465288
0.077465288,103.8966409,0.079929557
0.079929557,103.8966409,0.082967169
0.082967169,103.8966409,0.086097719
0.086097719,103.8966409,0.089033522
0.089033522,103.8966409,0.091602011
0.091602011,103.8966409,0.093705339
0.093705339,103.8966409,0.095299844
0.095299844,103.8966409,0.096384987
0.096384987,103.8966409,0.09699595
0.09699595,103.8966409,0.097196657
0.097196657,103.8966409,0.097071599
0.097071599,103.8966409,0.096716152
0.096716152,103.8966409,0.096226136
0.096226136,103.8966409,0.09568811
0.09568811,103.8966409,0.095171976
0.095171976,103.8966409,0.094726947
0.094726947,103.8966409,0.094381081
0.094381081,103.8966409,0.094143704
0.094143704,103.8966409,0.094009621
0.094009621,103.8966409,0.093963925
0.093963925,103.8966409,0.093986532
0.093986532,103.8966409,0.094055912
0.094055912,103.8966409,0.094151802
0.094151802,103.8966409,0.094256951
0.094256951,103.8966409,0.094358014
0.094358014,104.0816229,0.094479811
0.094479811,104.0816229,0.094634695
0.094634695,104.0816229,0.094797803
0.094797803,104.0816229,0.09495036
0.09495036,104.0816229,0.095079819
0.095079819,104.0816229,0.095179369
0.095179369,104.0816229,0.095247037
0.095247037,104.0816229,0.095284582
0.095284582,104.0816229,0.095296327
0.095296327,104.0816229,0.095288042
0.095288042,104.0816229,0.095265986
0.095265986,104.0816229,0.095236139
0.095236139,104.0816229,0.095203665
0.095203665,105.7415201,0.095477714
0.095477714,105.7415201,0.096221441
0.096221441,105.7415201,0.097237679
0.097237679,105.7415201,0.098362091
0.098362091,105.7415201,0.099466778
0.099466778,105.7415201,0.100458823
0.100458823,105.7415201,0.101277049
0.101277049,105.7415201,0.101888312
0.101888312,105.7415201,0.10228364
0.10228364,105.7415201,0.102474126
0.102474126,105.7415201,0.102486403
0.102486403,105.7415201,0.102357723
0.102357723,105.7415201,0.102130812
0.102130812,105.7415201,0.101848918
0.101848918,105.7415201,0.101551513
0.101551513,105.7415201,0.101271084
0.101271084,105.7415201,0.101031264
0.101031264,105.7415201,0.100846313
0.100846313,105.7415201,0.100721765
0.100721765,105.7415201,0.100655877
0.100655877,105.7415201,0.100641538
0.100641538,105.7415201,0.100668256
0.100668256,105.7415201,0.100724013
0.100724013,105.7415201,0.100796795
0.100796795,105.7415201,0.100875745
0.100875745,94.57520031,0.098850594
0.098850594,94.57520031,0.093457563
0.093457563,94.57520031,0.086335644
0.086335644,94.57520031,0.079312408
0.079312408,94.57520031,0.073728001
0.073728001,94.57520031,0.070025092
0.070025092,94.57520031,0.067951046
0.067951046,94.57520031,0.06700643
0.06700643,94.57520031,0.066736988
0.066736988,94.57520031,0.06682163
0.06682163,94.57520031,0.067060809
0.067060809,94.57520031,0.067341126
0.067341126,94.57520031,0.067604123
0.067604123,94.57520031,0.067824339
0.067824339,94.57520031,0.067995066
0.067995066,94.57520031,0.06811942
0.06811942,94.57520031,0.068204895
0.068204895,94.57520031,0.068260186
0.068260186,94.57520031,0.068293474
0.068293474,94.57520031,0.068311642
0.068311642,94.57520031,0.068320041
0.068320041,94.57520031,0.068322571
0.068322571,94.57520031,0.068321914
0.068321914,94.57520031,0.068319796
0.068319796,94.57520031,0.068317253
0.068317253,99.31938863,0.069140813
0.069140813,99.31938863,0.070918423
0.070918423,99.31938863,0.072981176
0.072981176,99.31938863,0.074980919
0.074980919,99.31938863,0.076742977
0.076742977,99.31938863,0.07818987
0.07818987,99.31938863,0.079302227
0.079302227,99.31938863,0.080097035
0.080097035,99.31938863,0.080613677
0.080613677,99.31938863,0.080903619
0.080903619,99.31938863,0.081022255
0.081022255,99.31938863,0.081022565
0.081022565,99.31938863,0.08095068
0.08095068,99.31938863,0.080843396
0.080843396,99.31938863,0.08072745
0.08072745,99.31938863,0.080620184
0.080620184,99.31938863,0.080531081
0.080531081,99.31938863,0.080463678
0.080463678,99.31938863,0.080417481
0.080417481,99.31938863,0.080389626
0.080389626,99.31938863,0.080376177
0.080376177,99.31938863,0.080373028
0.080373028,99.31938863,0.08037647
0.08037647,99.31938863,0.080383477
0.080383477,99.31938863,0.080391799
0.080391799,103.2754586,0.081110881
0.081110881,103.2754586,0.082779412
0.082779412,103.2754586,0.084864361
0.084864361,103.2754586,0.08701867
0.08701867,103.2754586,0.089023722
0.089023722,103.2754586,0.090748372
0.090748372,103.2754586,0.092123426
0.092123426,103.2754586,0.093125857
0.093125857,103.2754586,0.093768051
0.093768051,103.2754586,0.094089068
0.094089068,103.2754586,0.094146339
0.094146339,103.2754586,0.09400728
0.09400728,103.2754586,0.093741139
0.093741139,103.2754586,0.093411819
0.093411819,103.2754586,0.093072498
0.093072498,103.2754586,0.092762565
0.092762565,103.2754586,0.092506928
0.092506928,103.2754586,0.092317265
0.092317265,103.2754586,0.092194558
0.092194558,103.2754586,0.092132178
0.092132178,103.2754586,0.092118937
0.092118937,103.2754586,0.092141709
0.092141709,103.2754586,0.09218745
0.09218745,103.2754586,0.092244569
0.092244569,103.2754586,0.092303713
0.092303713,93.53269475,0.090541182
0.090541182,93.53269475,0.086073507
0.086073507,93.53269475,0.080451522
0.080451522,93.53269475,0.075108675
0.075108675,93.53269475,0.070927567
0.070927567,93.53269475,0.068122427
0.068122427,93.53269475,0.066475138
0.066475138,93.53269475,0.065635057
0.065635057,93.53269475,0.065291178
0.065291178,93.53269475,0.065221764
0.065221764,93.53269475,0.06528625
0.06528625,93.53269475,0.065402592
0.065402592,93.53269475,0.065526685
0.065526685,93.53269475,0.065637485
0.065637485,93.53269475,0.065727181
0.065727181,93.53269475,0.065795026
0.065795026,93.53269475,0.065843614
0.065843614,93.53269475,0.065876732
0.065876732,93.53269475,0.065898217
0.065898217,93.53269475,0.065911414
0.065911414,93.53269475,0.065918992
0.065918992,93.53269475,0.065922946
0.065922946,93.53269475,0.065924691
0.065924691,93.53269475,0.065925179
0.065925179,109.6336999,0.068669153
0.068669153,109.6336999,0.074575919
0.074575919,109.6336999,0.081754987
0.081754987,109.6336999,0.089372738
0.089372738,109.6336999,0.096996695
0.096996695,109.6336999,0.104354659
0.104354659,109.6336999,0.111244469
0.111244469,109.6336999,0.117497586
0.117497586,109.6336999,0.12296358
0.12296358,109.6336999,0.127504149
0.127504149,109.6336999,0.130992946
0.130992946,109.6336999,0.13332048
0.13332048,109.6336999,0.134404627
0.134404627,109.6336999,0.134207527
0.134207527,109.6336999,0.132758586
0.132758586,109.6336999,0.130180358
0.130180358,109.6336999,0.12670881
0.12670881,109.6336999,0.122693975
0.122693975,109.6336999,0.118566763
0.118566763,109.6336999,0.114769642
0.114769642,109.6336999,0.111671269
0.111671269,109.6336999,0.109500671
0.109500671,109.6336999,0.1083276
0.1083276,109.6336999,0.108087919
0.108087919,109.6336999,0.10863147
0.10863147,109.6336999,0.109768812
0.109768812,109.6336999,0.111304717
0.111304717,109.6336999,0.11305734
0.11305734,109.6336999,0.114867026
0.114867026,109.6336999,0.116599297
0.116599297,109.6336999,0.118145278
0.118145278,109.6336999,0.119421461
0.119421461,109.6336999,0.120369614
0.120369614,109.6336999,0.120957016
0.120957016,109.6336999,0.121176728
0.121176728,109.6336999,0.121047362
0.121047362,109.6336999,0.120611646
0.120611646,109.6336999,0.119933155
0.119933155,109.6336999,0.119090842
0.119090842,109.6336999,0.118171558
0.118171558,109.6336999,0.117261347
0.117261347,109.6336999,0.116436852
0.116436852,109.6336999,0.11575828
0.11575828,109.6336999,0.115265064
0.115265064,109.6336999,0.114974645
0.114974645,109.6336999,0.114884086
0.114884086,109.6336999,0.114973704
0.114973704,109.6336999,0.115211715
0.115211715,109.6336999,0.115559058
0.115559058,109.6336999,0.115973789
0.115973789,109.6336999,0.116414762
0.116414762,109.6336999,0.1168445
0.1168445,109.6336999,0.117231297
0.117231297,109.6336999,0.117550626
0.117550626,109.6336999,0.117785935
0.117785935,109.6336999,0.117928887
0.117928887,109.6336999,0.117979075
0.117979075,109.6336999,0.11794326
0.11794326,109.6336999,0.117834174
0.117834174,109.6336999,0.117668961
