CA(k),qc,CA(k+1)
0.082345312,98.9073322,0.08213708
0.08213708,98.9073322,0.081664787
0.081664787,98.9073322,0.081087206
0.081087206,98.9073322,0.080517136
0.080517136,98.9073322,0.080023127
0.080023127,98.9073322,0.079636785
0.079636785,98.9073322,0.079362941
0.079362941,98.9073322,0.079189881
0.079189881,98.9073322,0.079097813
0.079097813,98.9073322,0.079064895
0.079064895,98.9073322,0.07907094
0.07907094,98.9073322,0.079099287
0.079099287,98.9073322,0.079137403
0.079137403,98.9073322,0.079176709
0.079176709,98.9073322,0.079211986
0.079211986,102.7066722,0.079921903
0.079921903,102.7066722,0.081524158
0.081524158,102.7066722,0.083502024
0.083502024,102.7066722,0.085524772
0.085524772,102.7066722,0.087388458
0.087388458,102.7066722,0.088974754
0.088974754,102.7066722,0.09022537
0.09022537,102.7066722,0.091125986
0.091125986,102.7066722,0.091695026
0.091695026,102.7066722,0.09197445
0.09197445,102.7066722,0.092021207
0.092021207,102.7066722,0.091899028
0.091899028,102.7066722,0.091670932
0.091670932,102.7066722,0.091393108
0.091393108,102.7066722,0.091110759
0.091110759,102.7066722,0.090856153
0.090856153,102.7066722,0.090648715
0.090648715,102.7066722,0.090496655
0.090496655,102.7066722,0.090399475
0.090399475,102.7066722,0.090350754
0.090350754,102.7066722,0.090340748
0.090340748,102.7066722,0.090358533
0.090358533,102.7066722,0.090393582
0.090393582,102.7066722,0.090436787
0.090436787,102.7066722,0.090480994
0.090480994,101.946331,0.090381562
0.090381562,101.946331,0.090070072
0.090070072,101.946331,0.089646705
0.089646705,101.946331,0.089194105
0.089194105,101.946331,0.088772834
0.088772834,101.946331,0.088420669
0.088420669,101.946331,0.088155088
0.088155088,101.946331,0.087977712
0.087977712,101.946331,0.087879399
0.087879399,101.946331,0.087844995
0.087844995,101.946331,0.087857171
0.087857171,101.946331,0.087899169
0.087899169,101.946331,0.087956505
0.087956505,101.946331,0.088017815
0.088017815,101.946331,0.088075058
0.088075058,103.7561449,0.088453308
0.088453308,103.7561449,0.089295243
0.089295243,103.7561449,0.090365124
0.090365124,103.7561449,0.091486369
0.091486369,103.7561449,0.092535523
0.092535523,103.7561449,0.093433601
0.093433601,103.7561449,0.094137837
0.094137837,103.7561449,0.094634407
0.094634407,103.7561449,0.09493186
0.09493186,103.7561449,0.095054906
0.095054906,103.7561449,0.095038463
0.095038463,103.7561449,0.094922065
0.094922065,103.7561449,0.094744952
0.094744952,103.7561449,0.094542188
